Daycare Centre Name,Address,Ward,Contact Name,Contact Phone
Allenby Day Care,391 St Clements Ave   (Eglinton W. / Avenue Rd.)     , Eglinton-Lawrence,Carol Mayne, 416-487-7108
All My Children Child Care,1590 Sandhurst Circle   (Finch E. / McCowan)     , Scarborough North,Wendy Chen, 416-291-9200
Alpha  (Brant Street Day Care),20 Brant St   (Adelaide W.  / Spadina)     , Spadina-Fort York,Ayesha Bharmal, 416-368-9735
Alphabet Academy,111 Manor Rd E     , Toronto-St. Paul's,Sasha Faiz, 416-219-9021
Alphabet Station,2206 Queen St E     , Beaches-East York,Lisa Chandran, 416-402-4702
Alphabet Treehouse Childcare Centre,1780 Avenue Rd   (Avenue Rd / Wilson Ave)     , Eglinton-Lawrence,Elina Kompaniyets, 416-548-7891
Alternative Primary School Parent Group,1100 Spadina Rd   (Spadina / Eglinton W.)     , Eglinton-Lawrence,Debra Deonarine, 416-322-5385
Alvin Curling YMCA,50 Upper Rouge Trail   (Sheppard/Morningside)     , Scarborough-Rouge Park,Frances Garcia, 416-287-8534
Ancaster Early Learning & Child Care Centre,45 Ancaster Rd   (Wilson / Dufferin)     , York Centre,Sheri Bagusoski, 416-392-5064
"Ancaster Public School, Extended Day Program",44 Ancaster Rd   (Wilson / Dufferin)     , York Centre,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Angelgate Daycare Inc.,432 Runnymede Rd   (Runnymede / Annette)     , Parkdale-High Park,Jennifer Tolentino, 647-835-4546
Angelgate Daycare Ltd. 230 Jane Street,230 Jane St   (Jane St & Annette St)     , Parkdale-High Park,Jennifer Tolentino, 647-835-4546
Angelgate Daycare Ltd. 232 Jane Street,232 Jane St     , Parkdale-High Park,Jennifer Tolentino, 647-835-4546
Angelic Treasures Christian Daycare,"155 Gordon Baker Rd ,112   (Gordon Baker Road/McNicoll Ave)     ", Don Valley North,Rasholeen Nakra, 416-756-9797
Angus Valley Montessori,"4841 Yonge St ,100     ", Willowdale,Samiksha  Nikki Gupta, 416-723-1155
Annex Montessori School,427 Bloor St W     , University-Rosedale,John McKenna, 647-202-1111
Annunciation Catholic School Before & After Child Care Program,65 Avonwick Gate   (Cassandra Blvd / Victoria Park)     , Don Valley East,Mingyu Cherrie Li, 647-289-8728
Antica Village Children's Day Care Centre (646508 Ontario Ltd),360 Hullmar Dr   (Steeles W. / Jane)     , Humber River-Black Creek,Mandira Gupta, 416-661-8666
A Place To Play Nursery School Of Bloor West Village,680 Annette St   (Annette / Jane)     , Parkdale-High Park,Kelly Adlam, 416-767-6650
Apple Day Care Centre,"3434 Eglinton Ave E ,102   (Markham Rd & Eglinton Ave E)     ", Scarborough-Guildwood,Lysette Gujol, 416-264-3158
Apple Jacks Preschool,19 Benlamond Ave     , Beaches-East York,Cassie St Amand, 416-690-9555
Arbor Glen Community Child Care Centre,55 Freshmeadow Dr   (Steeles E. / Don Mills)     , Don Valley North,Catherine Henderson, 416-497-4040
Archway Montessori School,3385 Lawrence Ave E   (Lawrence E. / Bellamy)     , Scarborough-Guildwood,Neelam Parvana, 416-438-8103
Armour Heights Child Care Program,"148 Wilson Ave ,108   (Wilson / Avenue Rd.)     ", Eglinton-Lawrence,Florence Kirchner, 416-486-6881
Arpi Nursery School,39 Carl Hall Rd     , York Centre,Rozet Madian, 416-781-1620
Ars Nursery School - Armenian Community Centre,45 Hallcrown Pl     , Don Valley North,Ani Tourosian, 416-491-2210 ext 1009
Ascot Avenue Community Daycare,991 St Clair Ave W   (St Clair Ave W/Oakwood Ave)     , Davenport,Teresa Gabriele-Peak, 416-651-2275
Ascot Avenue Community Day Care,95 Regal Rd   (Davenport / Dufferin)     , Davenport,Meghan Kearns, 416-653-7760
Aspiring Academics Preschool Inc.,262 Woodfield Rd     , Toronto-Danforth,Jasmine Dale, 416-889-9389
Aspiring Academics Preschool - Kingston,2372 Kingston Rd     , Scarborough Southwest,Jasmine Dale, 416-889-9389
Aspiring Academics Preschool - Somerset,56 Somerset Ave   (Davenport Rd / Somerset Ave)     , Davenport,Jasmine Dale, 416-889-9389
Atelier Kids Inc.,15 Oakmount Rd     , Parkdale-High Park,Jenna Niven, 416-604-2442
Atelier Kids Inc.,21 Quebec Ave     , Parkdale-High Park,Jenna Niven, 416-419-3864
Avalon Children's Montessori School,31 Wood Glen Rd   (Kingston Rd. /  Warden)     , Scarborough Southwest,Christine Keery, 416-690-7744
Avenue Road Nursery School,1498 Avenue Rd   (Avenue Rd. / Lawrence)     , Eglinton-Lawrence,April Parrett, 416-783-2773
Avondale Centre For Early Development,171 Avondale Ave     , Willowdale,Jennifer Moore, 416-941-2121
"Avondale Public School, Extended Day Program",171 Avondale Ave   (Willowdale Ave & Sheppard Ave)     , Willowdale,416-803-2147 or email, susie.surette@tdsb.on.ca
B.F. Toronto Centre For Early Childhood Education,45 Golfdown Dr   (Islington / Hwy. 401)     , Etobicoke North,Kathleen Archer, 416-746-6542 ext 200
Bais Yaakov Elementary School,15 Saranac Blvd     , Eglinton-Lawrence,Chava  Miriam Neustadt, 416-783-6181 ext 182
Balloons - Children's Development Center,"1315 Kipling Ave ,601-1 Michael Power   (Kipling Ave / Prince George Dr)     ", Etobicoke Centre,Jerarmyn Vidal, 647-646-7916
Balmy Beach Community Day Care Centre,"14 Pine Ave ,Room 107   (Kingston Rd. / Victoria Park)     ", Beaches-East York,Christine Roberts, 416-698-5668
Bannockburn School,3080 Bayview Ave     , Willowdale,Isabella Foster, 416-789-7855 ext 307
Banting And Best Child Care Centre (380 Goldhawk),380 Goldhawk Trail   (McCowan / McNicoll)     , Scarborough North,Ellen Mok, 416-291-6163
Banting And Best Schoolage Satellite(255 Alton Towers),255 Alton Towers Cir   (McCowan / McNicoll)     , Scarborough North,Ellen Mok, 416-291-6163
Baycrest Child Care Centre,50 Ameer Ave     , Eglinton-Lawrence,Jasmine Livingstone, 416-784-1316
Bayview Gardens Day Care Centre,3125 Bayview Ave   (Bayview / Finch)     , Don Valley North,Jessica Christian, 416-222-9405
Bayview Glen,275 Duncan Mill Rd   (Don Mills Rd/York Mills Rd)     , Don Valley East,Gillian Potts-Hemingway, 416-443-1030 ext 287
Beaches Co-Operative Playschool Inc.,975 Kingston Rd   (Kingston Rd. / Victoria Park)     , Beaches-East York,Amanda Lucifora, 416-689-2699
Beaches Montessori School Incorporated,950 Kingston Rd     , Beaches-East York,Leigh Anne Jacques, 416-901-2992
Beaches Montessori School South,995 Kingston Rd     , Beaches-East York,Julie Mitchell, 416-986-7553
Beatty Buddies Daycare,55 Woodington Ave   (Danforth / Coxwell)     , Beaches-East York,Lisa Winters, 416-570-8687
Beechgrove Sunshine Child Care,"4679 Kingston Rd ,Unite 8 & 9     ", Scarborough-Rouge Park,Danielle Rampulla, 416-284-6523
Bennington Heights Child Care Centre,76 Bennington Heights Dr   (Bayview / Moore)     , Don Valley West,Sarah Ptak, 416-423-6522
Berner Trail Early Learning & Child Care Centre,120 Berner Trail   (Neilson / Sheppard)     , Scarborough North,Luisa Quadrini, 416-392-6273
"Berner Trail Junior Public School, Extended Day Program",120 Berner Trail   (Neilson / Sheppard)     , Scarborough North,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Bessborough Child Care Centre,211 Bessborough Dr   (Bayview / Eglinton)     , Don Valley West,Jodi Kageyama, 416-467-0389
Beth Sholom First Foundations Community Preschool,1445 Eglinton Ave W     , Toronto-St. Paul's,Alisa Daly, 416-266-8393
Better Beginnings Nursery School & Kindergarten,"1208 Kingston Rd ,109     ", Scarborough Southwest,Silvana Fuica, 416-825-8429
Beverly Glen YMCA,85 Beverly Glen Blvd     , Scarborough-Agincourt,Maryam Sabri, 647-438-6702
Big Bears Daycare,"51 Durnford Rd ,2nd Floor   (Sheppard / Kingston Rd.)     ", Scarborough-Rouge Park,Ellsy Badibanga, 416-778-8860
Big Dreams Early Learning Centre,1703 Victoria Park Ave   (Victoria Park Ave/Lawrence.)     , Scarborough Centre,Laura Burrows, 416-564-0731
"Birch Cliff Public School, Extended Day Program",1650 Kingston Rd   (Birchmount & Danforth)     , Scarborough Southwest,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Birchmount Bluffs Neighbourhood Centre,93 Birchmount Rd   (Birchmount / Danforth Ave.)     , Scarborough Southwest,Linda Curley, 416-396-4308
Birchmount Place Centre For Early Learning,2360 Birchmount Rd   (Birchmount / Sheppard E.)     , Scarborough-Agincourt,Rose Ganzon, 416-291-0304 ext 221
Birds And Bees Day Care Centre,720 Kennedy Rd   (Kennedy / Eglinton)     , Scarborough Southwest,Brenda Tripp, 416-261-5741
Blacksmith Child Care Centre,45 Blacksmith Cres   (Jane / Steeles)     , Humber River-Black Creek,Kathy Thomas, 416-665-3839
Blake Street Early Learning & Child Care Centre,84 Blake St   (Jones / Danforth)     , Toronto-Danforth,Sonia Chavez A., 416-392-5055
"Blake Street Junior Public School, Extended Day Program",21 Boultbee Ave   (Jones / Gerrard)     , Toronto-Danforth,416-803-2147 or email, susie.surette@tdsb.on.ca
Blaydon Community Day Care Centre,25 Blaydon Ave   (Keele / Wilson)     , York Centre,Anna Care, 416-638-1461
Blessed Pier Giorgio Frassati Extended Day Program,8 Seasons Dr   (Markham Rd/ Steeles Ave E)     , Scarborough North,Basma Jubran, 416-396-5757
Blessed Trinity Before & After School,3205 Bayview Ave   (Bayview / Finch)     , Don Valley North,Margaret Udo, 416-226-3336
Bloorcourt Village Early Learning Centre,823 Dovercourt Rd   (Bloor W. / Dovercourt)     , Davenport,Dania Gradante, 416-536-0574
Bloor West Nursery School,432 Runnymede Rd   (Runnymede / Annette St.)     , Parkdale-High Park,Laura Grimaldi, 416-767-6729 ext 103
Blossoming Minds Learning Centre Inc.,1530 Danforth Ave     , Toronto-Danforth,Krista Dahlgren, 416-546-9830
Blue Bell Academy,2189 Gerrard St E   (Main St/ Gerrard St)     , Beaches-East York,Evelyn Bell, 416-996-5009
Blue Bell Academy Inc.,"2191 Gerrard St E ,1a   (Gerrard St E / Main St)     ", Beaches-East York,Evelyn Bell, 416-996-5009
Blue Bell Academy Inc.,1415 Gerrard St E     , Toronto-Danforth,Evelyn Bell, 416-550-4442
Bluebird Montessori School (Mini),"905 Broadview Ave ,A     ", Toronto-Danforth,Ingrid Siguenza, 416-406-4066
Bluebird Montessori School (North),958 Broadview Ave     , Toronto-Danforth,Sarah Pumphrey, 416-406-4033
Bluebird Montessori School South,515 Broadview Ave     , Toronto-Danforth,Seema Chakaraborty, 416-606-3398
Blue Butterfly Montessori School Inc.,"300 Richmond St W ,100   (Richmond W./ John St.)     ", Spadina-Fort York,Neda Rassi, 416-479-0202
Blue Wave Child Care Centre,50 Duncairn Rd   (Lawrence / Don Mills)     , Don Valley East,Sarita Singh, 416-445-0602
Bluffer's Park Montessori School,2857 Kingston Rd   (Kingston Rd / St. Clair Ave. E)     , Scarborough Southwest,Mary Kapetanos, 647-340-9099
Boardwalk Montessori School Inc.,"1975 Queen St E ,A   (Queen/Woodbine)     ", Beaches-East York,Joan Walder, 416-691-6740
Bonaventure Child Care Centre,295 Dufferin St   (Dufferin / King St. W.)     , Spadina-Fort York,Tiffany Ghandhi, 416-588-4318
Boulton Avenue Child Care Centre,131 Broadview Ave   (Broadview / Queen)     , Toronto-Danforth,June Schappert, 416-463-7625
Bowmore,80 Bowmore Rd   (Gerrard / Coxwell)     , Beaches-East York,Ada Antidormi, 416-465-6678
"Bowmore Road Junior And Senior Public School, Extended Day Program",80 Bowmore Rd   (Gerrard / Coxwell)     , Beaches-East York,416-803-2147 or email, susie.surette@tdsb.on.ca
Braeburn Woods Day Care Centre,15 Tandridge Cres   (Albion / Weston)     , Etobicoke North,Karen Leroux, 416-745-9472
Brahms Early Learning & Child Care Centre,5 Brahms Ave   (Don Mills / Finch)     , Don Valley North,Victoria Moosaie, 416-392-6262
Branson Pre-School Ltd.,4866 Bathurst St   (Bathurst / Finch)     , York Centre,Rajani Mathieswaran, 416-635-6580
Brian Drive School Age Program (YMCA),95 Brian Dr   (Victoria Park / Sheppard)     , Don Valley North,Rakhi Bhattacharya, 416-493-3008
Brian Petits Amis,95 Brian Dr   (Brian / Sheppard)     , Don Valley North,Vicki Rout, 416-491-1231
Briarcrest Child Care,60 Wellesworth Dr   (Rathburn / Renforth)     , Etobicoke Centre,Rupinder Sidhu, 416-620-9914
Bridlegrove Daycare Centre,2575 Pharmacy Ave   (Pharmacy / Finch)     , Scarborough-Agincourt,Illuminata Paiva, 416-497-7667
Bridlewood Jr YMCA,60 Bridlewood Blvd   (Huntingwood / Warden)     , Scarborough-Agincourt,Christina Hanna, 416-492-3364
Bright Minds Childcare & Montessori School,"1450 O Connor Dr ,Building #2, Unit 110   (O'Connor Dr. / Bermondsey)     ", Beaches-East York,Nadira Shameem, 416-755-0002
Brightpath Academy Forest Hill,5 Glen Park Ave     , Eglinton-Lawrence,Jovanna Sinanan, 647-547-2120
Brightpath Eglinton,"5535 Eglinton Ave W ,200   (Eglinton Ave/Centennial Park)     ", Etobicoke Centre,Harpreet Chander, 416-742-3535
Brimwood School Age YMCA,151 Brimwood Blvd   (Brimley / Finch)     , Scarborough North,Ranu Singh, 416-293-7326
"Broadacres Junior School, Extended Day Program",45 Crendon Dr   (Renforth / Burnhamthorpe)     , Etobicoke Centre,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Broadlands School Age Program YMCA,106 Broadlands Blvd   (Victoria Park / Lawrence)     , Don Valley East,Garcia Sitcheron, 416-229-6324
Broad View French Montessori School,1007 Broadview Ave   (Broadview / Mortimer)     , Toronto-Danforth,Michelle Altmid, 416-467-1618
Broad View French Montessori School II Limited,1236 Kingston Rd   (Kingston Rd. / Fallingbrook)     , Scarborough Southwest,Latife Emin, 416-690-9305
Brock Early Learning Centre,93 Margueretta St   (College / Dufferin)     , Davenport,Branka Milin-Campbell, 416-535-3491
Brookhaven Child Care,70 Brookhaven Dr   (Black Creek / Lawrence W.)     , York South-Weston,Marisa Manduca, 416-249-6587
Brookhaven Child Care -  St. Bernard Site,12 Duckworth St   (Jane & Lawrence)     , York South-Weston,Marisa Manduca, 416-249-6587
"Brookmill Boulevard Junior Public School, Extended Day Program",25 Brookmill Blvd   (Warden Ave & Finch Ave E)     , Scarborough-Agincourt,437-219-8974 or email, adelaide.decker@tdsb.on.ca
Brookside Child Care Centre,75 Oasis Blvd   (Tapscott Rd. / Passmore Ave.)     , Scarborough North,Basma Jubran, 416-396-5757
Bruce Woodgreen Early Learning Centre,51 Larchmount Ave   (Pape / Queen)     , Toronto-Danforth,Jessica Wong, 416-645-6000 ext 1158
Buchanan Extended Day & School Age Program,4 Bucannan Rd   (Warden Ave / Lawrence Ave E)     , Scarborough Centre,Vinita Kar, 416-299-1405
Buds And Blossoms,"517 Parliament St ,2     ", Toronto Centre,Sarah Feng, 416-655-0695
Bumble Bee Academy,"668 Kingston Rd ,Unit 1     ", Beaches-East York,Shawna Titus, 416-690-2221
Bumble Bee Academy,"1560 Queen St E ,101, 102, 201     ", Toronto-Danforth,Keziah Dourado, 416-462-0106
Bumble Bee Garden Child Care Ltd.,1275 Dundas St W     , Davenport,Yanran Lulu Liu, 416-532-0275
C.A.S.P. Catholic After School Program,53 Gracefield Ave   (Lawrence Ave. W. / Keele)     , York South-Weston,Jennifer Tulloch-Lewin, 416-707-0558
C.D.Farquharson Jr YMCA,1965 Brimley Rd   (Brimley / Pitfield)     , Scarborough North,Kristina Harrison, 647-438-7124
Calico Saints Child Care Centre,35 Calico Dr   (Sheppard W. / Jane)     , York Centre,Robert Gordon, 416-741-8499
Cambridge Leaf Montessori School,"3875 McNicoll Ave ,100-103   (Markham Rd / McNicoll Ave)     ", Scarborough North,Shweta Nanda, 416-731-7075
Cambridge Place Centre For Early Learning,30 Denton Ave   (Victoria Park / Danforth Ave.)     , Scarborough Southwest,Urooj Ali, 416-699-8636 ext 221
Campus Community Co-Operative Day Care,370 Huron St   (Bloor / St. George)     , University-Rosedale,Cathy Stevenson, 416-946-0875
Canadiana Court Early Learning & Child Care Centre,20 Gordonridge Pl   (Midland / Danforth)     , Scarborough Southwest,Carolina Lovato-Mejia, 416-392-5698
Candy Factory Swallows Day Care (The),1411 Bloor St W   (Bloor W. / Symington)     , Davenport,Blair Spence, 416-537-4154
Cardinal Leger Child Care Centre (Scarborough),600 Morrish Rd   (Ellesmere / Morningside)     , Scarborough-Rouge Park,Tanya Zundel, 416-287-0578
Carefree Preschool,370 Dixon Rd   (Dixon / Kipling)     , Etobicoke North,Hanann Sabet, 416-244-5529
Carleton Village Early Learning Centre,315 Osler St   (Davenport / Symington)     , Davenport,Shahira Abdel-Nour, 416-651-2550
Carmelite Day Nursery,108 Harrison St   (Ossington / Dundas)     , Davenport,Evelina Bettencourt, 416-536-5313
Carmelite Day Nursery Of Toronto,319 Ossington Ave     , University-Rosedale,Eduarda Ferreira, 416-536-5313
Carmelite Missionary Sisters Of St. Theresa Of Child Jesus,1196 Wilson Ave   (Keele / Wilson)     , York Centre,Yolanda Galleta, 416-636-6123
Carousel Child Care Development Centre,"623 Finch Ave W ,101   (Finch W.  / Wilmington)     ", York Centre,Bella Abramovich, 416-636-0614
Casa Del Zotto Children's Centre,3010 Dufferin St   (Dufferin / Lawrence)     , Eglinton-Lawrence,Tina Fraga, 416-789-7011 ext 222
Casa Vera Montessori School,2000 Keele St   (Keele St. / Gulliver Rd.)     , York South-Weston,Viera Scurova, 416-850-9705
Cast For Kids Child Care Centre,1430 Sheppard Ave W   (Sheppard W. / Keele)     , York Centre,Anna Maria Storto, 416-638-4487
Castlebar YMCA,70 Chartwell Rd   (Islington Ave / Ambleside Ave)     , Etobicoke-Lakeshore,Ashley Thompson, 416-917-8900
Castle Park Playschool,"1971 Queen St E ,Unit 102, 103   (Queen E / Woodbine)     ", Beaches-East York,Ella Dembeck, 647-501-6751
Caterpillar & Co,55 Chauncey Ave   (Kipling/Norseman)     , Etobicoke-Lakeshore,Sally Petrie, 416-239-2888
Cedarbrae Day Nurseries (20 Greencrest),20 Greencrest Circt   (Markham / Lawrence)     , Scarborough-Guildwood,Tracy Rushton, 416-431-2504
Cedarbrae Day Nursery,1385 Midland Ave   (Midland / Lawrence E.)     , Scarborough Centre,Joanne Bavaro, 416-751-0664
Cedarbrae Day Nursery (1375 Midland),1375 Midland Ave   (Midland / Lawrence E.)     , Scarborough Centre,Emily Emanuel, 416-751-2358
Centenary Seven Oaks  Early Learning & Child Care Centre,9 Neilson Rd   (Ellesmere / Neilson Rd.)     , Scarborough-Guildwood,Jennifer Connolly, 416-392-4750
Centennial College Early Childhood Education Centre(550 Mortimer),550 Mortimer Ave   (Mortimer / Coxwell)     , Toronto-Danforth,Rick Nankissoor, 416-289-5104
Centennial College East York Day Care (Plains Rd),175 Plains Rd   (Coxwell / O'Connor)     , Toronto-Danforth,Rick Nankissoor, 416-289-5104
Centennial College Progress Campus Child Care Centre,941 Progress Ave   (Markham / Hwy. 401)     , Scarborough-Guildwood,Janet Burchert, 416-289-5000 ext 2110
Centennial Infant And Child Centre,1580 Yonge St   (Yonge / St. Clair)     , Toronto-St. Paul's,Catherine Moher, 416-935-0210
Central Eglinton Childrens' Centre,223 Eglinton Ave E   (Eglinton / Mt. Pleasant)     , Toronto-St. Paul's,Deirdre Munroe, 416-440-0383
Central Montessori School - Maplehurst Campus,181 Maplehurst Ave   (Sheppard Ave E/Willowdale Ave)     , Willowdale,Pravita Lakhani, 416-222-9207
Central Montessori Schools - Willowdale Campus,157 Willowdale Ave   (Willowdale Ave. / Sheppard E.)     , Willowdale,Nora Moradi, 416-250-1022
Central Montessori Schools - York Mills Campus,18 Coldwater Rd   (Leslie / York Mills)     , Don Valley East,Ahmed Ayesha, 416-510-1200
Central Neighbourhood House,349 Ontario St   (Parliament / Dundas)     , Toronto Centre,Soni Ahmad, 416-925-4363 ext 110
Centre De La Petite Enfance - Les Amis Du Monde,55 Pelham Ave   (Dundas/Dupont)     , Davenport,Regine Epolo-Mayela, 416-410-2232
Centro Abruzzo / Villa Charities,340 Falstaff Ave   (Keele / Hwy. 401)     , York South-Weston,Loriane Rodrigues, 416-645-1014
Centro Clinton Day Care Centre,65 Concord Ave     , Davenport,Maria Azevedo, 416-537-5841
Chabad Lubavitch Of York Mills,2437 Bayview Ave   (Bayview Ave & York Mills Rd)     , Don Valley West,Rivky Gansburg, 416-551-9391
Chabad Of Midtown - Bathurst,1344 Bathurst St   (Bathurst / Davenport Rd)     , Toronto-St. Paul's,Dvora Deitsch, 416-516-2005
Chabad Of Midtown - St Clair,546 St Clair Ave W     , Toronto-St. Paul's,Dvora Deitsch, 416-516-2005
Champions Children's Centre,9 Grenoble Dr   (Don Mills / Eglinton)     , Don Valley East,Yota Mingo Adams, 416-467-5983
Charlottetown Blvd. Childcare Centre,"111 Island Rd ,Unit #5   (Port Union Rd. / Hwy. 401)     ", Scarborough-Rouge Park,Cheryl Hafenbrack, 416-396-5658
Charlottetown Kindergarten Extended Care Program,85 Charlottetown Blvd   (Charlottetown Blvd/Centennial)     , Scarborough-Rouge Park,Sanaa Maher, 416-287-0007
Chartland Child Care Inc,109 Chartland Blvd S   (Brimley / Huntingwood)     , Scarborough North,Susan Tom, 416-292-7278
Cheer Day Care Centre,3300 Kennedy Rd   (Kennedy / McNicoll)     , Scarborough-Agincourt,Petty Yang, 416-292-4720
Chester Jr YMCA,115 Gowan Ave   (Broadview / Gowan)     , Toronto-Danforth,Sherry Feeney, 416-421-8101
Chester Le Early Learning & Child Care Centre,201 Chester Le Blvd   (Victoria Park / Finch Ave E)     , Scarborough-Agincourt,Barbara Ann Steele, 416-338-0715
Children's Circle Of St. Barnabas,361 Danforth Ave     , Toronto-Danforth,Michelle Strople, 416-461-5151 ext 6
Children's Creative Corner Co-Op Nursery School,"125 Evelyn Cres ,Rm. 234   (Runnymede / Bloor)     ", Parkdale-High Park,Aislinn Schwartz, 416-769-4938
Children's Garden Junior School,670 Eglinton Ave E   (Eglinton E. / Bayview)     , Don Valley West,Marie Bates, 416-423-5017
Children's Magic Moments Child Care And Nursery School,98 Braemar Ave   (Avenue Rd. / Eglinton W.)     , Toronto-St. Paul's,Francesca Adamo, 416-488-0114
Children's Playgarden /Toronto Military Family Resource Centre,5 Yukon Lane   (William R. Allen / Sheppard W.)     , York Centre,Colleen Marback, 416-633-6200 ext 4312
Children's Primary Centre,177 Beverley St   (Beverley / College)     , University-Rosedale,Patrick Symister, 416-977-1204
Children's Village Day Care Centre #1,1050 Markham Rd   (Markham / Ellesmere)     , Scarborough-Guildwood,Enza Diminno, 416-438-3355
Children's Village Day Care Centre #3,225 Markham Rd   (Markham / Eglinton E.)     , Scarborough-Guildwood,Sadia Noori, 416-267-9677
Children Are People Education,"272 Codsell Ave ,3rd Floor   (Sheppard / Wilson Heights)     ", York Centre,Megan Goldstein, 416-633-8831
Children Of Tomorrow,425 McCowan Rd   (McCowan Rd/Eglinton Ave E)     , Scarborough Centre,Maltee Ramkissoon, 416-261-9893
Children Of Tomorrow - John McCrae,431 McCowan Rd   (Danforth Rd / Eglinton)     , Scarborough Centre,Nicola Greenland, 416-261-9893
Childspace Day Care Corporation # 1 (50 Woodmount),50 Woodmount Ave   (Danforth Ave. / Woodbine)     , Beaches-East York,Charlotte Risk, 416-425-7763
Childspace Day Care Corporation # 2 (690 Carlaw),690 Carlaw Ave   (Carlaw / Danforth Ave.)     , Toronto-Danforth,Rochelle Davis, 416-469-0560
Childspace Day Care Corporation # 3 (49 Felstead Avenue),49 Felstead Ave   (Danforth Ave. / Greenwood)     , Toronto-Danforth,Veronica Bravo-Soto, 416-469-9722
Churchill Chums School Age Child Care Centre,188 Churchill Ave   (Senlac / Finch)     , Willowdale,Catherine Di Domenico, 416-221-5923
Church Street School Day Care Service Inc.,83 Alexander St   (Church / Carlton)     , Toronto Centre,Elisha Gauthier, 416-925-1197
City Kids Early Learning & Child Care Centre,34 Bathurst St   (Bathurst / Front St. W.)     , Spadina-Fort York,Laura Henriques, 416-392-0932
Clairlea,25 Rosalind Cres     , Scarborough Southwest,Britney Connolly, 416-389-2925
